'Tuesday, March 19, 2019 12:22 PM',7.4
'Tuesday, March 19, 2019 14:28 PM',9.379999999999999
'Tuesday, March 19, 2019 14:49 PM',8.18
'Tuesday, March 19, 2019 15:17 PM',0.0
'Wednesday, March 20, 2019 11:28 AM',3.19
'Wednesday, March 20, 2019 11:43 AM',8.16
'Wednesday, March 20, 2019 13:00 PM',11.05
'Wednesday, March 20, 2019 15:00 PM',5.0
'Wednesday, March 20, 2019 15:18 PM',22.1
'Wednesday, March 20, 2019 16:34 PM',11.29
'Wednesday, March 20, 2019 17:13 PM',10.91
'Wednesday, March 20, 2019 18:22 PM',3.19
'Wednesday, March 20, 2019 18:32 PM',8.61
'Wednesday, March 20, 2019 18:55 PM',4.5600000000000005
'Thursday, March 21, 2019 12:52 PM',10.24
'Thursday, March 21, 2019 13:49 PM',19.65
'Thursday, March 21, 2019 14:25 PM',11.93
'Thursday, March 21, 2019 14:43 PM',7.97
'Thursday, March 21, 2019 20:41 PM',4.68
'Thursday, March 21, 2019 20:58 PM',3.68
'Thursday, March 21, 2019 21:16 PM',8.1
'Thursday, March 21, 2019 21:30 PM',3.51
'Thursday, March 21, 2019 22:07 PM',4.45
'Thursday, March 21, 2019 22:45 PM',11.53
'Thursday, March 21, 2019 23:06 PM',9.15
'Friday, March 22, 2019 14:29 PM',9.9
'Wednesday, April 17, 2019 19:41 PM',82.36
'Tuesday, April 30, 2019 12:05 PM',3.19
'Thursday, April 18, 2019 19:43 PM',3.33
'Monday, April 22, 2019 18:16 PM',5.11
'Thursday, April 18, 2019 01:27 AM',4.1899999999999995
'Friday, April 19, 2019 14:09 PM',6.45
'Tuesday, April 30, 2019 10:15 AM',8.86
'Wednesday, April 24, 2019 17:31 PM',8.91
'Tuesday, April 30, 2019 10:31 AM',10.95
'Friday, April 19, 2019 13:41 PM',7.26
'Thursday, April 18, 2019 22:37 PM',3.19
'Monday, April 29, 2019 13:45 PM',4.4
'Monday, April 29, 2019 16:55 PM',3.22
'Tuesday, April 30, 2019 13:20 PM',6.47
'Thursday, April 18, 2019 21:20 PM',4.05
'Monday, April 22, 2019 15:36 PM',13.35
'Thursday, April 18, 2019 01:42 AM',0.0
'Friday, April 19, 2019 13:28 PM',3.19
'Tuesday, April 23, 2019 17:03 PM',7.3
